Time,Action,ID,ArrivalTime,RemainingExecutionTime,Deadline,Failed,NumReExec,NumSuccess
0,schedule,0,0,2,6,-1,0,0
0,run,0,0,2,6,-1,0,0
2,finish,0,0,0,6,False,0,0
2,schedule,0,6,2,12,-1,0,0
2,IDLE,-1,-1,-1,-1,-1,-1,-1
6,run,0,6,2,12,-1,0,0
8,finish,0,6,0,12,True,0,0
8,reschedule,0,8,2,12,-1,1,0
8,run,0,8,2,12,-1,1,0
10,finish,0,8,0,12,False,1,0
10,schedule,0,12,2,18,-1,0,0
10,IDLE,-1,-1,-1,-1,-1,-1,-1
12,run,0,12,2,18,-1,0,0
14,finish,0,12,0,18,True,0,0
14,reschedule,0,14,2,18,-1,1,0
14,run,0,14,2,18,-1,1,0
16,finish,0,14,0,18,True,1,0
16,drop(overrun),0,14,0,18,-1,1,0
16,schedule,0,18,2,24,-1,0,0
16,IDLE,-1,-1,-1,-1,-1,-1,-1
18,run,0,18,2,24,-1,0,0
20,finish,0,18,0,24,True,0,0
20,reschedule,0,20,2,24,-1,1,0
20,timeout,-1,-1,-1,-1,-1,-1,-1
