Time,Action,ID,ArrivalTime,RemainingExecutionTime,Deadline,Failed,NumReExec,NumSuccess,,ID,NumViolation,NumTotalScheduled
0,schedule,0,0,1,4,-1,0,0,,0.0,1.0,5.0
0,schedule,1,0,2,6,-1,0,0,,1.0,2.0,3.0
0,run,0,0,1,4,-1,0,0,,,,
1,finish,0,0,0,4,False,0,0,,,,
1,reschedule,0,1,1,4,-1,1,1,,,,
1,run,0,1,1,4,-1,0,0,,,,
2,finish,0,1,0,4,True,0,0,,,,
2,reschedule,0,2,1,4,-1,2,0,,,,
2,run,0,2,1,4,-1,0,0,,,,
3,finish,0,2,0,4,False,0,0,,,,
3,reschedule,0,3,1,4,-1,3,1,,,,
3,run,0,3,1,4,-1,0,0,,,,
4,finish,0,3,0,4,False,0,0,,,,
4,schedule,0,4,1,8,-1,0,0,,,,
4,run,1,0,2,6,-1,0,0,,,,
6,finish,1,0,0,6,False,0,1,,,,
6,drop(violation),1,6,2,6,-1,0,1,,,,
6,schedule,1,6,2,12,-1,0,0,,,,
6,run,0,4,1,8,-1,0,0,,,,
7,finish,0,4,0,8,False,0,0,,,,
7,reschedule,0,7,1,8,-1,1,1,,,,
7,run,0,7,1,8,-1,0,0,,,,
8,finish,0,7,0,8,False,0,0,,,,
8,schedule,0,8,1,12,-1,0,0,,,,
8,run,0,8,1,12,-1,0,0,,,,
9,finish,0,8,0,12,False,0,0,,,,
9,reschedule,0,9,1,12,-1,1,1,,,,
9,run,0,9,1,12,-1,0,0,,,,
10,finish,0,9,0,12,False,0,0,,,,
10,schedule,0,12,1,16,-1,0,0,,,,
10,run,1,6,2,12,-1,0,0,,,,
12,finish,1,6,0,12,True,0,0,,,,
12,drop(violation),1,12,2,12,-1,0,0,,,,
12,schedule,1,12,2,18,-1,0,0,,,,
12,run,0,12,1,16,-1,0,0,,,,
13,finish,0,12,0,16,False,0,0,,,,
13,reschedule,0,13,1,16,-1,1,1,,,,
13,run,0,13,1,16,-1,0,0,,,,
14,finish,0,13,0,16,False,0,0,,,,
14,schedule,0,16,1,20,-1,0,0,,,,
14,run,1,12,2,18,-1,0,0,,,,
16,finish,1,12,0,18,False,0,0,,,,
16,reschedule,1,16,2,18,-1,1,1,,,,
16,run,1,16,2,18,-1,1,1,,,,
18,finish,1,16,0,18,False,1,2,,,,
18,schedule,1,18,2,24,-1,0,0,,,,
18,run,0,16,1,20,-1,0,0,,,,
19,finish,0,16,0,20,False,0,0,,,,
19,reschedule,0,19,1,20,-1,1,1,,,,
19,run,0,19,1,20,-1,0,0,,,,
20,finish,0,19,0,20,True,0,0,,,,
20,drop(violation),0,20,1,20,-1,1,0,,,,
20,schedule,0,20,1,24,-1,0,0,,,,
20,timeout,-1,-1,-1,-1,-1,-1,-1,,,,
